"nation","Index name","Exponential encoding","date"
"Kazakhstan","Exports to China","120055768","2017-12-31","637869.1"
"Kazakhstan","Exports to China","120055768","2018-12-31","852660.9"
"Kazakhstan","Exports to China","120055768","2019-12-31","927366.9859"
"Kazakhstan","Exports to China","120055768","2020-12-31","980510.065"
"Kazakhstan","Exports to China","120055768","2021-12-31","1129056"
"Kazakhstan","Exports to China","120055768","2022-12-31","1484088"
"Kazakhstan","Exports to China","120055768","2023-12-31","1632376.8834"
"South Korea","Exports to China","120055777","2005-12-31","7682040"
"South Korea","Exports to China","120055777","2006-12-31","8972414.2142"
"South Korea","Exports to China","120055777","2007-12-31","10375195.4068"
"South Korea","Exports to China","120055777","2008-12-31","11213792.1096"
"South Korea","Exports to China","120055777","2009-12-31","10254507.2344"
"South Korea","Exports to China","120055777","2010-12-31","13834885.2"
"South Korea","Exports to China","120055777","2011-12-31","16270628.9525"
"South Korea","Exports to China","120055777","2012-12-31","16873761.5"
"South Korea","Exports to China","120055777","2013-12-31","18307275.7"
"South Korea","Exports to China","120055777","2014-12-31","19010877.3465"
"South Korea","Exports to China","120055777","2015-12-31","17450608.3"
"South Korea","Exports to China","120055777","2016-12-31","15897453.1"
"South Korea","Exports to China","120055777","2017-12-31","17755315.4"
"South Korea","Exports to China","120055777","2018-12-31","20464340.1"
"South Korea","Exports to China","120055777","2019-12-31","17355902.5773"
"South Korea","Exports to China","120055777","2020-12-31","17310391.1776"
"South Korea","Exports to China","120055777","2021-12-31","21344326"
"South Korea","Exports to China","120055777","2022-12-31","19901610"
"South Korea","Exports to China","120055777","2023-12-31","16175022.6614"
"Kyrgyzstan","Exports to China","120055767","2005-12-31","10505"
"Kyrgyzstan","Exports to China","120055767","2006-12-31","11291.5589"
"Kyrgyzstan","Exports to China","120055767","2007-12-31","11369.2682"
"Kyrgyzstan","Exports to China","120055767","2008-12-31","12132.7867"
"Kyrgyzstan","Exports to China","120055767","2009-12-31","4920.8607"
"Kyrgyzstan","Exports to China","120055767","2010-12-31","7212.2"
"Kyrgyzstan","Exports to China","120055767","2011-12-31","9816.3343"
"Kyrgyzstan","Exports to China","120055767","2012-12-31","8894.9"
"Kyrgyzstan","Exports to China","120055767","2013-12-31","6235"
"Kyrgyzstan","Exports to China","120055767","2014-12-31","5542.4061"
"Kyrgyzstan","Exports to China","120055767","2015-12-31","5857.1"
"Kyrgyzstan","Exports to China","120055767","2016-12-31","7123.5"
"Kyrgyzstan","Exports to China","120055767","2017-12-31","8705.5"
"Kyrgyzstan","Exports to China","120055767","2018-12-31","5432.7"
"Kyrgyzstan","Exports to China","120055767","2019-12-31","6604.1403"
"Kyrgyzstan","Exports to China","120055767","2020-12-31","3480.1089"
"Kyrgyzstan","Exports to China","120055767","2021-12-31","7974"
"Kyrgyzstan","Exports to China","120055767","2022-12-31","8166"
"Kyrgyzstan","Exports to China","120055767","2023-12-31","8318.2199"
"Cambodia","Exports to China","120055803","2005-12-31","2731"
"Cambodia","Exports to China","120055803","2006-12-31","3509.1355"
"Cambodia","Exports to China","120055803","2007-12-31","5106.5879"
"Cambodia","Exports to China","120055803","2008-12-31","3882.8183"
"Cambodia","Exports to China","120055803","2009-12-31","3689.1518"
"Cambodia","Exports to China","120055803","2010-12-31","9362.7"
"Cambodia","Exports to China","120055803","2011-12-31","18429.7983"
"Cambodia","Exports to China","120055803","2012-12-31","21532.3"
"Cambodia","Exports to China","120055803","2013-12-31","36363.5"
"Cambodia","Exports to China","120055803","2014-12-31","48291.4653"
"Cambodia","Exports to China","120055803","2015-12-31","66659.5"
"Cambodia","Exports to China","120055803","2016-12-31","83051.3"
"Cambodia","Exports to China","120055803","2017-12-31","100758.2"
"Cambodia","Exports to China","120055803","2018-12-31","137665.5"
"Cambodia","Exports to China","120055803","2019-12-31","144432.3229"
"Cambodia","Exports to China","120055803","2020-12-31","149748.6585"
"Cambodia","Exports to China","120055803","2021-12-31","210043"
"Cambodia","Exports to China","120055803","2022-12-31","183820"
"Cambodia","Exports to China","120055803","2023-12-31","207056.2951"
"Qatar","Exports to China","120055780","2005-12-31","47272"
"Qatar","Exports to China","120055780","2006-12-31","56198.0688"
"Qatar","Exports to China","120055780","2007-12-31","58800.2503"
"Qatar","Exports to China","120055780","2008-12-31","131162.6096"
"Qatar","Exports to China","120055780","2009-12-31","138176.371"
"Qatar","Exports to China","120055780","2010-12-31","245583.5"
"Qatar","Exports to China","120055780","2011-12-31","469430.8733"
"Qatar","Exports to China","120055780","2012-12-31","727810.3"
"Qatar","Exports to China","120055780","2013-12-31","846335.3"
"Qatar","Exports to China","120055780","2014-12-31","833672.7789"
"Qatar","Exports to China","120055780","2015-12-31","461436.6"
"Qatar","Exports to China","120055780","2016-12-31","401237.4"
"Qatar","Exports to China","120055780","2017-12-31","640027.4"
"Qatar","Exports to China","120055780","2018-12-31","914639"
"Qatar","Exports to China","120055780","2019-12-31","871310.7686"
"Qatar","Exports to China","120055780","2020-12-31","830509.6427"
"Qatar","Exports to China","120055780","2021-12-31","1321100"
"Qatar","Exports to China","120055780","2022-12-31","2258574"
"Qatar","Exports to China","120055780","2023-12-31","2089691.1716"
"Kuwait","Exports to China","120055792","2005-12-31","102050"
"Kuwait","Exports to China","120055792","2006-12-31","192399.9896"
"Kuwait","Exports to China","120055792","2007-12-31","229062.2896"
"Kuwait","Exports to China","120055792","2008-12-31","503881.4695"
"Kuwait","Exports to China","120055792","2009-12-31","350069.2229"
"Kuwait","Exports to China","120055792","2010-12-31","670835.7"
"Kuwait","Exports to China","120055792","2011-12-31","917520.4536"
"Kuwait","Exports to China","120055792","2012-12-31","1046780.9"
"Kuwait","Exports to China","120055792","2013-12-31","958663.8"
"Kuwait","Exports to China","120055792","2014-12-31","1000496.4203"
"Kuwait","Exports to China","120055792","2015-12-31","749706.5"
"Kuwait","Exports to China","120055792","2016-12-31","637028.4"
"Kuwait","Exports to China","120055792","2017-12-31","893495"
"Kuwait","Exports to China","120055792","2018-12-31","1534386.6"
"Kuwait","Exports to China","120055792","2019-12-31","1344747.4953"
"Kuwait","Exports to China","120055792","2020-12-31","1073510.1636"
"Kuwait","Exports to China","120055792","2021-12-31","1775554"
"Kuwait","Exports to China","120055792","2022-12-31","2649899"
"Kuwait","Exports to China","120055792","2023-12-31","1716549.6674"
"Laos","Exports to China","120055791","2005-12-31","2555"
"Laos","Exports to China","120055791","2006-12-31","4964.6755"
"Laos","Exports to China","120055791","2007-12-31","8591.8978"
"Laos","Exports to China","120055791","2008-12-31","13425.8761"
"Laos","Exports to China","120055791","2009-12-31","37463.2728"
"Laos","Exports to China","120055791","2010-12-31","60149.4"
"Laos","Exports to China","120055791","2011-12-31","82460.8354"
"Laos","Exports to China","120055791","2012-12-31","78663.4"
"Laos","Exports to China","120055791","2013-12-31","101007.9"
"Laos","Exports to China","120055791","2014-12-31","177788.3187"
"Laos","Exports to China","120055791","2015-12-31","154734.1"
"Laos","Exports to China","120055791","2016-12-31","135960.8"
"Laos","Exports to China","120055791","2017-12-31","160499.7"
"Laos","Exports to China","120055791","2018-12-31","201815.3"
"Laos","Exports to China","120055791","2019-12-31","215700.039"
"Laos","Exports to China","120055791","2020-12-31","208828.934"
"Laos","Exports to China","120055791","2021-12-31","267570"
"Laos","Exports to China","120055791","2022-12-31","335127"
"Laos","Exports to China","120055791","2023-12-31","374891.9139"
"lebanon","Exports to China","120055790","2005-12-31","419"
"lebanon","Exports to China","120055790","2006-12-31","860.0471"
"lebanon","Exports to China","120055790","2007-12-31","1862.1347"
"lebanon","Exports to China","120055790","2008-12-31","1327.3975"
"lebanon","Exports to China","120055790","2009-12-31","897.6689"
"lebanon","Exports to China","120055790","2010-12-31","2727.5"
"lebanon","Exports to China","120055790","2011-12-31","2591.5697"
"lebanon","Exports to China","120055790","2012-12-31","2032.7"
"lebanon","Exports to China","120055790","2013-12-31","4557.9"
"lebanon","Exports to China","120055790","2014-12-31","2538.7258"
"lebanon","Exports to China","120055790","2015-12-31","1732.3"
"lebanon","Exports to China","120055790","2016-12-31","1767.3"
"lebanon","Exports to China","120055790","2017-12-31","2304"
"lebanon","Exports to China","120055790","2018-12-31","4898.4"
"lebanon","Exports to China","120055790","2019-12-31","2600.7161"
"lebanon","Exports to China","120055790","2020-12-31","3179.8465"
"lebanon","Exports to China","120055790","2021-12-31","4793"
"lebanon","Exports to China","120055790","2022-12-31","6404"
"lebanon","Exports to China","120055790","2023-12-31","6415.5415"
"Maldives","Exports to China","120055787","2005-12-31","3"
"Maldives","Exports to China","120055787","2006-12-31","59.8276"
"Maldives","Exports to China","120055787","2007-12-31","28.3766"
"Maldives","Exports to China","120055787","2008-12-31","141.7012"
"Maldives","Exports to China","120055787","2009-12-31","12.7654"
"Maldives","Exports to China","120055787","2010-12-31","4.8"
"Maldives","Exports to China","120055787","2011-12-31","13.5718"
"Maldives","Exports to China","120055787","2012-12-31","18.5"
"Maldives","Exports to China","120055787","2013-12-31","41.8"
"Maldives","Exports to China","120055787","2014-12-31","38.043"
"Maldives","Exports to China","120055787","2015-12-31","17.7"
"Maldives","Exports to China","120055787","2016-12-31","23.8"
"Maldives","Exports to China","120055787","2017-12-31","62.1"
"Maldives","Exports to China","120055787","2018-12-31","103.3"
"Maldives","Exports to China","120055787","2019-12-31","3371.8734"
"Maldives","Exports to China","120055787","2020-12-31","577.109"
"Maldives","Exports to China","120055787","2021-12-31","436"
"Maldives","Exports to China","120055787","2022-12-31","6"
"Maldives","Exports to China","120055787","2023-12-31","3.4543"
"Malaysia","Exports to China","120055788","2005-12-31","2009321"
"Malaysia","Exports to China","120055788","2006-12-31","2357243.434"
"Malaysia","Exports to China","120055788","2007-12-31","2869705.0876"
"Malaysia","Exports to China","120055788","2008-12-31","3210139.6273"
"Malaysia","Exports to China","120055788","2009-12-31","3233591.5167"
"Malaysia","Exports to China","120055788","2010-12-31","5044680.2"
"Malaysia","Exports to China","120055788","2011-12-31","6213671.1857"
"Malaysia","Exports to China","120055788","2012-12-31","5830676.5"
"Malaysia","Exports to China","120055788","2013-12-31","6015278.6"
"Malaysia","Exports to China","120055788","2014-12-31","5565224.2622"
"Malaysia","Exports to China","120055788","2015-12-31","5327733.1"
"Malaysia","Exports to China","120055788","2016-12-31","4926963.7"
"Malaysia","Exports to China","120055788","2017-12-31","5442613.9"
"Malaysia","Exports to China","120055788","2018-12-31","6320504.6"
"Malaysia","Exports to China","120055788","2019-12-31","7190997.5137"
"Malaysia","Exports to China","120055788","2020-12-31","7517442.1604"
"Malaysia","Exports to China","120055788","2021-12-31","9830508"
"Malaysia","Exports to China","120055788","2022-12-31","10983860"
"Malaysia","Exports to China","120055788","2023-12-31","10286069.5682"
"Mongolia","Exports to China","120055786","2005-12-31","54103"
"Mongolia","Exports to China","120055786","2006-12-31","114748.2669"
"Mongolia","Exports to China","120055786","2007-12-31","135164.9373"
"Mongolia","Exports to China","120055786","2008-12-31","152560.7206"
"Mongolia","Exports to China","120055786","2009-12-31","136111.8532"
"Mongolia","Exports to China","120055786","2010-12-31","255206.3"
"Mongolia","Exports to China","120055786","2011-12-31","370107.0929"
"Mongolia","Exports to China","120055786","2012-12-31","394770.3"
"Mongolia","Exports to China","120055786","2013-12-31","350954.7"
"Mongolia","Exports to China","120055786","2014-12-31","510208.7078"
"Mongolia","Exports to China","120055786","2015-12-31","379537.7"
"Mongolia","Exports to China","120055786","2016-12-31","362260.1"
"Mongolia","Exports to China","120055786","2017-12-31","516731.3"
"Mongolia","Exports to China","120055786","2018-12-31","634411.2"
"Mongolia","Exports to China","120055786","2019-12-31","633435.7304"
"Mongolia","Exports to China","120055786","2020-12-31","512456.2278"
"Mongolia","Exports to China","120055786","2021-12-31","689896"
"Mongolia","Exports to China","120055786","2022-12-31","933218"
"Mongolia","Exports to China","120055786","2023-12-31","1311720.9583"
"Bangladesh","Exports to China","120055807","2005-12-31","7860"
"Bangladesh","Exports to China","120055807","2006-12-31","9883.5268"
"Bangladesh","Exports to China","120055807","2007-12-31","11417.1063"
"Bangladesh","Exports to China","120055807","2008-12-31","13190.9511"
"Bangladesh","Exports to China","120055807","2009-12-31","14034.2809"
"Bangladesh","Exports to China","120055807","2010-12-31","26887.6"
"Bangladesh","Exports to China","120055807","2011-12-31","44864.2584"
"Bangladesh","Exports to China","120055807","2012-12-31","47992.2"
"Bangladesh","Exports to China","120055807","2013-12-31","60236.6"
"Bangladesh","Exports to China","120055807","2014-12-31","76110.7883"
"Bangladesh","Exports to China","120055807","2015-12-31","81684.5"
"Bangladesh","Exports to China","120055807","2016-12-31","86939.8"
"Bangladesh","Exports to China","120055807","2017-12-31","87514.5"
"Bangladesh","Exports to China","120055807","2018-12-31","98442.3"
"Bangladesh","Exports to China","120055807","2019-12-31","103653.3766"
"Bangladesh","Exports to China","120055807","2020-12-31","79975.463"
"Bangladesh","Exports to China","120055807","2021-12-31","104693"
"Bangladesh","Exports to China","120055807","2022-12-31","98173"
"Bangladesh","Exports to China","120055807","2023-12-31","102597.7332"
"Myanmar","Exports to China","120055804","2005-12-31","27440"
"Myanmar","Exports to China","120055804","2006-12-31","25264.9704"
"Myanmar","Exports to China","120055804","2007-12-31","37814.0015"
"Myanmar","Exports to China","120055804","2008-12-31","64754.8911"
"Myanmar","Exports to China","120055804","2009-12-31","64612.6728"
"Myanmar","Exports to China","120055804","2010-12-31","96654.6"
"Myanmar","Exports to China","120055804","2011-12-31","167990.0256"
"Myanmar","Exports to China","120055804","2012-12-31","129822.6"
"Myanmar","Exports to China","120055804","2013-12-31","285686.7"
"Myanmar","Exports to China","120055804","2014-12-31","1560127.9451"
"Myanmar","Exports to China","120055804","2015-12-31","544929.5"
"Myanmar","Exports to China","120055804","2016-12-31","409770.9"
"Myanmar","Exports to China","120055804","2017-12-31","452634.8"
"Myanmar","Exports to China","120055804","2018-12-31","468433.8"
"Myanmar","Exports to China","120055804","2019-12-31","638805.9154"
"Myanmar","Exports to China","120055804","2020-12-31","634679.808"
"Myanmar","Exports to China","120055804","2021-12-31","812208"
"Myanmar","Exports to China","120055804","2022-12-31","1149475"
"Myanmar","Exports to China","120055804","2023-12-31","954773.0928"
"Nepal","Exports to China","120055785","2005-12-31","850"
"Nepal","Exports to China","120055785","2006-12-31","828.4668"
"Nepal","Exports to China","120055785","2007-12-31","1479.0179"
"Nepal","Exports to China","120055785","2008-12-31","597.5687"
"Nepal","Exports to China","120055785","2009-12-31","529.0031"
"Nepal","Exports to China","120055785","2010-12-31","1141.6"
"Nepal","Exports to China","120055785","2011-12-31","1386.4962"
"Nepal","Exports to China","120055785","2012-12-31","2952"
"Nepal","Exports to China","120055785","2013-12-31","4325"
"Nepal","Exports to China","120055785","2014-12-31","4706.74"
"Nepal","Exports to China","120055785","2015-12-31","3200.2"
"Nepal","Exports to China","120055785","2016-12-31","2240.6"
"Nepal","Exports to China","120055785","2017-12-31","1785.4"
"Nepal","Exports to China","120055785","2018-12-31","2200"
"Nepal","Exports to China","120055785","2019-12-31","3353.8072"
"Nepal","Exports to China","120055785","2020-12-31","1626.1278"
"Nepal","Exports to China","120055785","2021-12-31","2651"
"Nepal","Exports to China","120055785","2022-12-31","2181"
"Nepal","Exports to China","120055785","2023-12-31","3480.0372"
"Saudi Arabia","Exports to China","120055779","2005-12-31","1224572"
"Saudi Arabia","Exports to China","120055779","2006-12-31","1508453.2094"
"Saudi Arabia","Exports to China","120055779","2007-12-31","1755968.3144"
"Saudi Arabia","Exports to China","120055779","2008-12-31","3102269.7923"
"Saudi Arabia","Exports to China","120055779","2009-12-31","2357093.7834"
"Saudi Arabia","Exports to China","120055779","2010-12-31","3282904.8"
